,Parking Positions,,,,,,,20F or 40F Front Pose,,,,,,,20F Rear Pose,,,,,,,45F Front Pose,,,,,
SlotLabel,UnityX,UnityZ,Latitude,Longitude,WGS84_Easting,WGS84_Northing,,UnityX_20F,UnityZ_20F,Latitude_20F,Longitude_20F,WGS84_Easting_20F,WGS84_Northing_20F,,UnityX_20R,UnityZ_20R,Latitude_20R,Longitude_20R,WGS84_Easting_20R,WGS84_Northing_20R,,UnityX_45F,UnityZ_45F,Latitude_45F,Longitude_45F,WGS84_Easting_45F,WGS84_Northing_45F
TB1_00_1,368.41,-28.99,1.26925800628248,103.793108052347,365725.886877659,140322.705540788,,368.41,-31.83,1.26923595099253,103.793094975518,365724.430646114,140320.267891554,,368.41,-38.426,1.26918472680477,103.793064604123,365721.048497121,140314.606365287,,368.41,-33.354,1.26922411568902,103.793087958234,365723.649203556,140318.959800899
TB1_00_2,368.41,-35.492,1.26920751209391,103.793078113776,365722.552927848,140317.124697332,,368.41,-38.332,1.26918545680381,103.793065036948,365721.096696332,140314.687048046,,368.41,-44.928,1.26913423261571,103.793034665554,365717.714547401,140309.025521658,,368.41,-39.856,1.26917362150022,103.793058019664,365720.315253792,140313.378957363
TB1_00_3,368.41,-42,1.26915697130932,103.79304814758,365719.215901558,140311.538703793,,368.41,-44.84,1.26913491601908,103.793035070752,365717.759670066,140309.101054454,,368.41,-51.436,1.26908369183064,103.79300469936,365714.377521202,140303.439527945,,368.41,-46.364,1.26912308071541,103.793028053468,365716.978227539,140307.792963744
TB1_00_4,368.41,-48.559,1.26910603446109,103.793017946554,365715.852724692,140305.908935444,,368.41,-51.399,1.26908397917069,103.793004869727,365714.396493232,140303.471286053,,368.41,-57.995,1.26903275498192,103.792974498336,365711.014344434,140297.809759421,,368.41,-52.923,1.26907214386695,103.792997852443,365713.615050721,140302.163195314
TB1_00_5,368.41,-55.089,1.26905532282499,103.792987879061,365712.504417865,140300.304058465,,368.41,-57.929,1.26903326753445,103.792974802234,365711.048186434,140297.866409021,,368.41,-64.525,1.26898204334534,103.792944430844,365707.666037699,140292.204882268,,368.41,-59.453,1.26902143223063,103.792967784951,365710.266743934,140296.558318254
TB1_00_6,368.41,-61.648,1.26900438597608,103.792957678037,365709.141241132,140294.674289874,,368.41,-64.488,1.2689823306854,103.792944601211,365707.685009727,140292.236640377,,368.41,-71.084,1.26893110649595,103.792914229822,365704.302861059,140286.575113501,,368.41,-66.012,1.2689704953815,103.792937583928,365706.903567243,140290.928549582
TB1_00_7,368.41,-68.17,1.26895373646689,103.792927647382,365705.797036494,140289.076279271,,368.41,-71.01,1.26893168117607,103.792914570556,365704.340805116,140286.638629722,,368.41,-77.606,1.26888045698628,103.792884199169,365700.958656517,140280.977102724,,368.41,-72.534,1.26891984587209,103.792907553274,365703.559362649,140285.330538898
TB1_00_8,368.41,-74.729,1.26890279961731,103.792897446361,365702.433859892,140283.446510437,,368.41,-77.569,1.26888074432634,103.792884369536,365700.977628543,140281.008860835,,368.41,-84.165,1.26882952013622,103.792853998149,365697.595480007,140275.347333715,,368.41,-79.093,1.26886890902229,103.792877352253,365700.196186092,140279.700769983
TB1_00_9,368.41,-81.259,1.26885208797988,103.792867378872,365699.085553324,140277.841632974,,368.41,-84.099,1.26883003268876,103.792854302047,365697.629322001,140275.40398332,,368.41,-90.695,1.2687788084983,103.792823930662,365694.247173532,140269.742456078,,368.41,-85.623,1.26881819738463,103.792847284765,365696.847879567,140274.09589244
TB1_00_10,368.41,-87.818,1.26880115112963,103.792837177853,365695.722376853,140272.211863897,,368.41,-90.658,1.26877909583836,103.792824101029,365694.266145559,140269.77421419,,368.41,-97.254,1.26872787164757,103.792793729645,365690.883997156,140264.112686826,,368.41,-92.182,1.26876726053415,103.792817083747,365693.484703138,140268.466123282
TB1_00_11,368.41,-94.373,1.26875024534283,103.792806995254,365692.361251475,140266.585528008,,368.41,-97.213,1.26872819005142,103.79279391843,365690.905020213,140264.147878248,,368.41,-103.809,1.26867696586029,103.792763547047,365687.522871873,140258.486350762,,368.41,-98.737,1.26871635474713,103.792786901148,365690.123577805,140262.839787312
TB1_00_12,368.41,-100.932,1.26869930849191,103.792776794237,365688.998075134,140260.955758688,,368.41,-103.772,1.26867725320035,103.792763717414,365687.541843901,140258.518108875,,368.41,-110.368,1.26862602900888,103.792733346032,365684.159695627,140252.856581266,,368.41,-105.296,1.26866541789598,103.792756700133,365686.760401509,140257.210017911
TB1_00_13,368.41,-107.462,1.26864859685313,103.792746726753,365685.649768828,140255.350880741,,368.41,-110.302,1.26862654156143,103.79273364993,365684.193537621,140252.913230876,,368.41,-116.898,1.26857531736962,103.792703278549,365680.811389414,140247.251703145,,368.41,-111.826,1.26861470625699,103.792726632649,365683.412095246,140251.605139883
