,Parking,Positions,,,,,,,20F,or,40F,Front,Pose,,,,,,,20F,Rear,Pose,,,,,
SlotLabel,UnityX,UnityZ,Latitude,Longitude,WGS84_Easting,WGS84_Northing,,UnityX_20F,UnityZ_20F,Latitude_20F,Longitude_20F,WGS84_Easting_20F,WGS84_Northing_20F,,UnityX_20R,UnityZ_20R,Latitude_20R,Longitude_20R,WGS84_Easting_20R,WGS84_Northing_20R,,UnityX_45F,UnityZ_45F,Latitude_45F,Longitude_45F,WGS84_Easting_45F,WGS84_Northing_45F
TB1_00_1,368.41,-28.99,1.269258006,103.7931081,365725.8869,140322.7055,,368.41,-31.83,1.269235951,103.793095,365724.4306,140320.2679,,368.41,-38.426,1.269184727,103.7930646,365721.0485,140314.6064,,368.41,-33.354,1.269224116,103.793088,365723.6492,140318.9598
TB1_00_2,368.41,-35.492,1.269207512,103.7930781,365722.5529,140317.1247,,368.41,-38.332,1.269185457,103.793065,365721.0967,140314.687,,368.41,-44.928,1.269134233,103.7930347,365717.7145,140309.0255,,368.41,-39.856,1.269173622,103.793058,365720.3153,140313.379
TB1_00_3,368.41,-42,1.269156971,103.7930481,365719.2159,140311.5387,,368.41,-44.84,1.269134916,103.7930351,365717.7597,140309.1011,,368.41,-51.436,1.269083692,103.7930047,365714.3775,140303.4395,,368.41,-46.364,1.269123081,103.7930281,365716.9782,140307.793
TB1_00_4,368.41,-48.559,1.269106034,103.7930179,365715.8527,140305.9089,,368.41,-51.399,1.269083979,103.7930049,365714.3965,140303.4713,,368.41,-57.995,1.269032755,103.7929745,365711.0143,140297.8098,,368.41,-52.923,1.269072144,103.7929979,365713.6151,140302.1632
TB1_00_5,368.41,-55.089,1.269055323,103.7929879,365712.5044,140300.3041,,368.41,-57.929,1.269033268,103.7929748,365711.0482,140297.8664,,368.41,-64.525,1.268982043,103.7929444,365707.666,140292.2049,,368.41,-59.453,1.269021432,103.7929678,365710.2667,140296.5583
TB1_00_6,368.41,-61.648,1.269004386,103.7929577,365709.1412,140294.6743,,368.41,-64.488,1.268982331,103.7929446,365707.685,140292.2366,,368.41,-71.084,1.268931106,103.7929142,365704.3029,140286.5751,,368.41,-66.012,1.268970495,103.7929376,365706.9036,140290.9285
TB1_00_7,368.41,-68.17,1.268953736,103.7929276,365705.797,140289.0763,,368.41,-71.01,1.268931681,103.7929146,365704.3408,140286.6386,,368.41,-77.606,1.268880457,103.7928842,365700.9587,140280.9771,,368.41,-72.534,1.268919846,103.7929076,365703.5594,140285.3305
TB1_00_8,368.41,-74.729,1.2689028,103.7928974,365702.4339,140283.4465,,368.41,-77.569,1.268880744,103.7928844,365700.9776,140281.0089,,368.41,-84.165,1.26882952,103.792854,365697.5955,140275.3473,,368.41,-79.093,1.268868909,103.7928774,365700.1962,140279.7008
TB1_00_9,368.41,-81.259,1.268852088,103.7928674,365699.0856,140277.8416,,368.41,-84.099,1.268830033,103.7928543,365697.6293,140275.404,,368.41,-90.695,1.268778808,103.7928239,365694.2472,140269.7425,,368.41,-85.623,1.268818197,103.7928473,365696.8479,140274.0959
TB1_00_10,368.41,-87.818,1.268801151,103.7928372,365695.7224,140272.2119,,368.41,-90.658,1.268779096,103.7928241,365694.2661,140269.7742,,368.41,-97.254,1.268727872,103.7927937,365690.884,140264.1127,,368.41,-92.182,1.268767261,103.7928171,365693.4847,140268.4661
TB1_00_11,368.41,-94.373,1.268750245,103.792807,365692.3613,140266.5855,,368.41,-97.213,1.26872819,103.7927939,365690.905,140264.1479,,368.41,-103.809,1.268676966,103.7927635,365687.5229,140258.4864,,368.41,-98.737,1.268716355,103.7927869,365690.1236,140262.8398
TB1_00_12,368.41,-100.932,1.268699308,103.7927768,365688.9981,140260.9558,,368.41,-103.772,1.268677253,103.7927637,365687.5418,140258.5181,,368.41,-110.368,1.268626029,103.7927333,365684.1597,140252.8566,,368.41,-105.296,1.268665418,103.7927567,365686.7604,140257.21
TB1_00_13,368.41,-107.462,1.268648597,103.7927467,365685.6498,140255.3509,,368.41,-110.302,1.268626542,103.7927336,365684.1935,140252.9132,,368.41,-116.898,1.268575317,103.7927033,365680.8114,140247.2517,,368.41,-111.826,1.268614706,103.7927266,365683.4121,140251.6051
TB1_00_14,368.41,-114.021,1.26859766,103.7927165,365682.2866,140249.7211,,368.41,-116.861,1.268575605,103.7927034,365680.8304,140247.2835,,368.41,-123.457,1.268524381,103.7926731,365677.4482,140241.6219,,368.41,-118.385,1.268563769,103.7926964,365680.0489,140245.9754
TB1_00_15,368.41,-120.543,1.26854701,103.7926865,365678.9424,140244.1231,,368.41,-123.383,1.268524955,103.7926734,365677.4862,140241.6854,,368.41,-129.979,1.268473731,103.792643,365674.104,140236.0239,,368.41,-124.907,1.26851312,103.7926664,365676.7047,140240.3774
TB1_00_16,368.41,-127.102,1.268496074,103.7926563,365675.5792,140238.4933,,368.41,-129.942,1.268474018,103.7926432,365674.123,140236.0557,,368.41,-136.538,1.268422794,103.7926128,365670.7408,140230.3942,,368.41,-131.466,1.268462183,103.7926362,365673.3415,140234.7476
TB1_00_17,368.41,-133.632,1.268445362,103.7926262,365672.2309,140232.8885,,368.41,-136.472,1.268423307,103.7926131,365670.7747,140230.4508,,368.41,-143.068,1.268372083,103.7925828,365667.3925,140224.7893,,368.41,-137.996,1.268411471,103.7926061,365669.9932,140229.1427
TB1_00_18,368.41,-140.191,1.268394425,103.792596,365668.8677,140227.2587,,368.41,-143.031,1.26837237,103.7925829,365667.4115,140224.821,,368.41,-149.627,1.268321146,103.7925526,365664.0294,140219.1595,,368.41,-144.555,1.268360535,103.7925759,365666.6301,140223.5129
TB1_00_19,368.41,-146.748,1.268343504,103.7925658,365665.5056,140221.6306,,368.41,-149.588,1.268321449,103.7925528,365664.0493,140219.193,,368.41,-156.184,1.268270224,103.7925224,365660.6672,140213.5314,,368.41,-151.112,1.268309613,103.7925457,365663.2679,140217.8849
TB1_00_20,368.41,-153.307,1.268292567,103.7925356,365662.1424,140216.0009,,368.41,-156.147,1.268270512,103.7925226,365660.6862,140213.5632,,368.41,-162.743,1.268219287,103.7924922,365657.304,140207.9017,,368.41,-157.671,1.268258676,103.7925155,365659.9047,140212.2551
TB1_00_21,368.41,-159.837,1.268241855,103.7925056,365658.7941,140210.396,,368.41,-162.677,1.2682198,103.7924925,365657.3379,140207.9583,,368.41,-169.273,1.268168576,103.7924621,365653.9557,140202.2968,,368.41,-164.201,1.268207965,103.7924855,365656.5564,140206.6502
TB1_00_22,368.41,-166.396,1.268190918,103.7924754,365655.4309,140204.7662,,368.41,-169.236,1.268168863,103.7924623,365653.9747,140202.3286,,368.41,-175.832,1.268117639,103.7924319,365650.5925,140196.667,,368.41,-170.76,1.268157028,103.7924553,365653.1932,140201.0205
TB1_00_23,368.41,-172.918,1.268140269,103.7924453,365652.0867,140199.1682,,368.41,-175.758,1.268118214,103.7924323,365650.6305,140196.7305,,368.41,-182.354,1.268066989,103.7924019,365647.2483,140191.069,,368.41,-177.282,1.268106378,103.7924252,365649.849,140195.4225
TB1_00_24,368.41,-179.477,1.268089332,103.7924151,365648.7235,140193.5384,,368.41,-182.317,1.268067277,103.7924021,365647.2673,140191.1008,,368.41,-188.913,1.268016053,103.7923717,365643.8852,140185.4392,,368.41,-183.841,1.268055442,103.792395,365646.4859,140189.7927
TB1_00_25,368.41,-186.007,1.26803862,103.7923851,365645.3752,140187.9335,,368.41,-188.847,1.268016565,103.792372,365643.919,140185.4959,,368.41,-195.443,1.267965341,103.7923416,365640.5369,140179.8344,,368.41,-190.371,1.26800473,103.792365,365643.1376,140184.1878
TB1_00_26,368.41,-192.566,1.267987684,103.7923549,365642.0121,140182.3038,,368.41,-195.406,1.267965628,103.7923418,365640.5558,140179.8661,,368.41,-202.002,1.267914404,103.7923114,365637.1737,140174.2046,,368.41,-196.93,1.267953793,103.7923348,365639.7744,140178.558
TB1_00_27,368.41,-199.121,1.267936778,103.7923247,365638.6509,140176.6774,,368.41,-201.961,1.267914723,103.7923116,365637.1947,140174.2398,,368.41,-208.557,1.267863498,103.7922812,365633.8126,140168.5783,,368.41,-203.485,1.267902887,103.7923046,365636.4133,140172.9317
TB1_00_28,368.41,-205.68,1.267885841,103.7922945,365635.2878,140171.0477,,368.41,-208.52,1.267863786,103.7922814,365633.8315,140168.61,,368.41,-215.116,1.267812561,103.792251,365630.4494,140162.9485,,368.41,-210.044,1.26785195,103.7922744,365633.0501,140167.3019
TB1_00_29,368.41,-212.21,1.267835129,103.7922644,365631.9395,140165.4428,,368.41,-215.05,1.267813074,103.7922513,365630.4832,140163.0051,,368.41,-221.646,1.26776185,103.792221,365627.1011,140157.3436,,368.41,-216.574,1.267801239,103.7922443,365629.7018,140161.697
TB1_00_30,368.41,-218.769,1.267784192,103.7922342,365628.5763,140159.813,,368.41,-221.609,1.267762137,103.7922211,365627.1201,140157.3754,,368.41,-228.205,1.267710913,103.7921908,365623.7379,140151.7138,,368.41,-223.133,1.267750302,103.7922141,365626.3386,140156.0673
TB1_00_31,368.41,-225.291,1.267733543,103.7922042,365625.2321,140154.215,,368.41,-228.131,1.267711488,103.7921911,365623.7758,140151.7773,,368.41,-234.727,1.267660263,103.7921607,365620.3937,140146.1158,,368.41,-229.655,1.267699652,103.7921841,365622.9944,140150.4693
TB1_00_32,368.41,-231.85,1.267682606,103.792174,365621.8689,140148.5852,,368.41,-234.69,1.267660551,103.7921609,365620.4127,140146.1476,,368.41,-241.286,1.267609327,103.7921305,365617.0305,140140.486,,368.41,-236.214,1.267648715,103.7921539,365619.6312,140144.8395
TB1_00_33,368.41,-238.38,1.267631894,103.7921439,365618.5206,140142.9803,,368.41,-241.22,1.267609839,103.7921308,365617.0644,140140.5427,,368.41,-247.816,1.267558615,103.7921005,365613.6822,140134.8812,,368.41,-242.744,1.267598004,103.7921238,365616.2829,140139.2346
TB1_00_34,368.41,-244.939,1.267580958,103.7921137,365615.1574,140137.3506,,368.41,-247.779,1.267558902,103.7921006,365613.7012,140134.9129,,368.41,-254.375,1.267507678,103.7920703,365610.319,140129.2514,,368.41,-249.303,1.267547067,103.7920936,365612.9198,140133.6048
TB1_00_35,368.41,-251.497,1.267530028,103.7920835,365611.7948,140131.7217,,368.41,-254.337,1.267507973,103.7920704,365610.3385,140129.284,,368.41,-260.933,1.267456749,103.7920401,365606.9564,140123.6225,,368.41,-255.861,1.267496138,103.7920634,365609.5571,140127.9759
TB1_00_36,368.41,-258.027,1.267479317,103.7920534,365608.4465,140126.1168,,368.41,-260.867,1.267457262,103.7920404,365606.9902,140123.6791,,368.41,-267.463,1.267406037,103.79201,365603.6081,140118.0176,,368.41,-262.391,1.267445426,103.7920334,365606.2088,140122.371
TB1_00_37,368.41,-264.586,1.26742838,103.7920232,365605.0833,140120.487,,368.41,-267.426,1.267406325,103.7920102,365603.6271,140118.0494,,368.41,-274.022,1.2673551,103.7919798,365600.2449,140112.3878,,368.41,-268.95,1.267394489,103.7920032,365602.8456,140116.7413
TB1_00_38,368.41,-271.4,1.267375463,103.7919919,365601.5894,140114.6384,,368.41,-274.24,1.267353408,103.7919788,365600.1331,140112.2007,,368.41,-280.836,1.267302183,103.7919484,365596.751,140106.5392,,368.41,-275.764,1.267341572,103.7919718,365599.3517,140110.8926
TB1_00_39,368.41,-277.25,1.267330032,103.7919649,365598.5897,140109.6171,,368.41,-280.09,1.267307977,103.7919519,365597.1335,140107.1795,,368.41,-286.686,1.267256753,103.7919215,365593.7513,140101.518,,368.41,-281.614,1.267296141,103.7919448,365596.3521,140105.8714
TB1_11_1,328.26,-29.04,1.269443689,103.792798,365691.3994,140343.2498,,328.26,-31.88,1.269421634,103.792785,365689.9432,140340.8122,,328.26,-38.476,1.26937041,103.7927546,365686.561,140335.1507,,328.26,-33.404,1.269409798,103.7927779,365689.1617,140339.5041
