Parking,,,,,,,,20F Front,,,,,,,20F Rear,,,,,,,45F Front,,,,,
SlotLabel,UnityX,UnityZ,Latitude,Longitude,WGS84_Easting,WGS84_Northing,,UnityX_20F,UnityZ_20F,Latitude_20F,Longitude_20F,WGS84_Easting_20F,WGS84_Northing_20F,,UnityX_20R,UnityZ_20R,Latitude_20R,Longitude_20R,WGS84_Easting_20R,WGS84_Northing_20R,,UnityX_45F,UnityZ_45F,Latitude_45F,Longitude_45F,WGS84_Easting_45F,WGS84_Northing_45F
TD1_00_1,368.41,-630.472,1.264586927,103.7903385,365417.4727,139806.4367,,368.41,-633.312,1.264564872,103.7903254,365416.0165,139803.999,,368.41,-639.908,1.264513648,103.7902951,365412.6343,139798.3375,,368.41,-634.836,1.264553037,103.7903184,365415.235,139802.6909
TD1_00_2,368.41,-636.974,1.264536433,103.7903086,365414.1387,139800.8558,,368.41,-639.814,1.264514378,103.7902955,365412.6825,139798.4182,,368.41,-646.41,1.264463154,103.7902651,365409.3004,139792.7566,,368.41,-641.338,1.264502543,103.7902885,365411.9011,139797.1101
TD1_00_3,368.41,-643.482,1.264485892,103.7902786,365410.8017,139795.2698,,368.41,-646.322,1.264463837,103.7902655,365409.3455,139792.8322,,368.41,-652.918,1.264412613,103.7902352,365405.9634,139787.1706,,368.41,-647.846,1.264452002,103.7902585,365408.5641,139791.5241
TD1_00_4,368.41,-650.041,1.264434956,103.7902484,365407.4386,139789.64,,368.41,-652.881,1.2644129,103.7902353,365405.9823,139787.2024,,368.41,-659.477,1.264361676,103.790205,365402.6002,139781.5408,,368.41,-654.405,1.264401065,103.7902283,365405.2009,139785.8943
TD1_00_5,368.41,-656.571,1.264384244,103.7902184,365404.0903,139784.0351,,368.41,-659.411,1.264362189,103.7902053,365402.634,139781.5975,,368.41,-666.007,1.264310964,103.7901749,365399.2519,139775.936,,368.41,-660.935,1.264350353,103.7901983,365401.8526,139780.2894
TD1_00_6,368.41,-663.13,1.264333307,103.7901881,365400.7271,139778.4054,,368.41,-665.97,1.264311252,103.7901751,365399.2709,139775.9677,,368.41,-672.566,1.264260027,103.7901447,365395.8887,139770.3062,,368.41,-667.494,1.264299416,103.7901681,365398.4894,139774.6596
TD1_00_7,368.41,-669.652,1.264282657,103.7901581,365397.3829,139772.8073,,368.41,-672.492,1.264260602,103.790145,365395.9267,139770.3697,,368.41,-679.088,1.264209378,103.7901147,365392.5445,139764.7082,,368.41,-674.016,1.264248767,103.790138,365395.1452,139769.0616
TD1_00_8,368.41,-676.211,1.264231721,103.7901279,365394.0197,139767.1776,,368.41,-679.051,1.264209665,103.7901148,365392.5635,139764.7399,,368.41,-685.647,1.264158441,103.7900845,365389.1813,139759.0784,,368.41,-680.575,1.26419783,103.7901078,365391.782,139763.4318
TD1_00_9,368.41,-682.741,1.264181009,103.7900979,365390.6714,139761.5727,,368.41,-685.581,1.264158954,103.7900848,365389.2152,139759.135,,368.41,-692.177,1.264107729,103.7900544,365385.833,139753.4735,,368.41,-687.105,1.264147118,103.7900778,365388.4337,139757.8269
TD1_00_10,368.41,-689.3,1.264130072,103.7900676,365387.3082,139755.9429,,368.41,-692.14,1.264108017,103.7900546,365385.852,139753.5052,,368.41,-698.736,1.264056792,103.7900242,365382.4699,139747.8437,,368.41,-693.664,1.264096181,103.7900476,365385.0706,139752.1971
TD1_00_11,368.41,-695.855,1.264079166,103.7900375,365383.9471,139750.3165,,368.41,-698.695,1.264057111,103.7900244,365382.4909,139747.8789,,368.41,-705.291,1.264005887,103.789994,365379.1088,139742.2174,,368.41,-700.219,1.264045276,103.7900174,365381.7095,139746.5708
TD1_00_12,368.41,-702.414,1.264028229,103.7900073,365380.584,139744.6868,,368.41,-705.254,1.264006174,103.7899942,365379.1277,139742.2491,,368.41,-711.85,1.26395495,103.7899638,365375.7456,139736.5876,,368.41,-706.778,1.263994339,103.7899872,365378.3463,139740.941
TD1_00_13,368.41,-708.944,1.263977518,103.7899772,365377.2357,139739.0819,,368.41,-711.784,1.263955462,103.7899641,365375.7794,139736.6442,,368.41,-718.38,1.263904238,103.7899338,365372.3973,139730.9827,,368.41,-713.308,1.263943627,103.7899571,365374.998,139735.3361
TD1_00_14,368.41,-715.503,1.263926581,103.789947,365373.8725,139733.4521,,368.41,-718.343,1.263904525,103.7899339,365372.4163,139731.0144,,368.41,-724.939,1.263853301,103.7899035,365369.0341,139725.3529,,368.41,-719.867,1.26389269,103.7899269,365371.6348,139729.7064
TD1_00_15,368.41,-722.025,1.263875931,103.789917,365370.5283,139727.8541,,368.41,-724.865,1.263853876,103.7899039,365369.0721,139725.4164,,368.41,-731.461,1.263802652,103.7898735,365365.6899,139719.7549,,368.41,-726.389,1.263842041,103.7898969,365368.2906,139724.1083
TD1_00_16,368.41,-728.584,1.263824994,103.7898868,365367.1651,139722.2243,,368.41,-731.424,1.263802939,103.7898737,365365.7089,139719.7866,,368.41,-738.02,1.263751715,103.7898433,365362.3267,139714.1251,,368.41,-732.948,1.263791104,103.7898667,365364.9274,139718.4785
TD1_00_17,368.41,-735.114,1.263774283,103.7898567,365363.8168,139716.6194,,368.41,-737.954,1.263752227,103.7898436,365362.3606,139714.1818,,368.41,-744.55,1.263701003,103.7898133,365358.9784,139708.5202,,368.41,-739.478,1.263740392,103.7898366,365361.5791,139712.8737
TD1_00_18,368.41,-741.673,1.263723346,103.7898265,365360.4536,139710.9896,,368.41,-744.513,1.26370129,103.7898134,365358.9974,139708.552,,368.41,-751.109,1.263650066,103.789783,365355.6153,139702.8904,,368.41,-746.037,1.263689455,103.7898064,365358.216,139707.2439
TD1_00_19,368.41,-748.23,1.263672424,103.7897963,365357.0915,139705.3616,,368.41,-751.07,1.263650369,103.7897832,365355.6353,139702.9239,,368.41,-757.666,1.263599145,103.7897529,365352.2531,139697.2624,,368.41,-752.594,1.263638534,103.7897762,365354.8538,139701.6158
TD1_00_20,368.41,-754.789,1.263621488,103.7897661,365353.7283,139699.7318,,368.41,-757.629,1.263599432,103.789753,365352.2721,139697.2941,,368.41,-764.225,1.263548208,103.7897227,365348.89,139691.6326,,368.41,-759.153,1.263587597,103.789746,365351.4907,139695.986
TD1_00_21,368.41,-761.319,1.263570776,103.789736,365350.38,139694.1269,,368.41,-764.159,1.263548721,103.789723,365348.9238,139691.6892,,368.41,-770.755,1.263497496,103.7896926,365345.5417,139686.0277,,368.41,-765.683,1.263536885,103.7897159,365348.1424,139690.3811
TD1_00_22,368.41,-767.878,1.263519839,103.7897058,365347.0169,139688.4971,,368.41,-770.718,1.263497784,103.7896928,365345.5606,139686.0595,,368.41,-777.314,1.263446559,103.7896624,365342.1785,139680.3979,,368.41,-772.242,1.263485948,103.7896857,365344.7792,139684.7514
TD1_00_23,368.41,-774.4,1.263469189,103.7896758,365343.6727,139682.8991,,368.41,-777.24,1.263447134,103.7896627,365342.2164,139680.4614,,368.41,-783.836,1.26339591,103.7896324,365338.8343,139674.7999,,368.41,-778.764,1.263435299,103.7896557,365341.435,139679.1533
TD1_00_24,368.41,-780.959,1.263418253,103.7896456,365340.3095,139677.2693,,368.41,-783.799,1.263396197,103.7896325,365338.8533,139674.8316,,368.41,-790.395,1.263344973,103.7896022,365335.4711,139669.1701,,368.41,-785.323,1.263384362,103.7896255,365338.0718,139673.5236
TD1_00_25,368.41,-787.489,1.263367541,103.7896155,365336.9612,139671.6644,,368.41,-790.329,1.263345486,103.7896025,365335.505,139669.2268,,368.41,-796.925,1.263294261,103.7895721,365332.1228,139663.5652,,368.41,-791.853,1.26333365,103.7895954,365334.7235,139667.9187
TD1_00_26,368.41,-794.048,1.263316604,103.7895853,365333.598,139666.0346,,368.41,-796.888,1.263294549,103.7895723,365332.1418,139663.597,,368.41,-803.484,1.263243324,103.7895419,365328.7597,139657.9354,,368.41,-798.412,1.263282713,103.7895652,365331.3604,139662.2889
TD1_00_27,368.41,-800.603,1.263265698,103.7895552,365330.2369,139660.4083,,368.41,-803.443,1.263243643,103.7895421,365328.7807,139657.9706,,368.41,-810.039,1.263192419,103.7895117,365325.3985,139652.3091,,368.41,-804.967,1.263231808,103.7895351,365327.9992,139656.6625
TD1_00_28,368.41,-807.162,1.263214761,103.789525,365326.8737,139654.7785,,368.41,-810.002,1.263192706,103.7895119,365325.4175,139652.3408,,368.41,-816.598,1.263141482,103.7894815,365322.0354,139646.6793,,368.41,-811.526,1.263180871,103.7895049,365324.6361,139651.0327
