Filename,PSA_AIFO_Coordinates,,,,,,,,,,,
Format,2.1,,,,,,,,,,,
Modified on,25/09/24,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Slot Label, Raw x, Raw y, Slot Type, , 20F Front x, 20F Front y, , 20F Rear x, 20F Rear y, , 45F Front x, 45F Front y
TB1_00_1,365725.8869,140322.7055,1, ,365724.4306,140320.2679, ,365721.0485,140314.6064, ,365723.6492,140318.9598
TB1_00_2,365722.5529,140317.1247,1, ,365721.0967,140314.687, ,365717.7145,140309.0255, ,365720.3153,140313.379
TB1_00_3,365719.2159,140311.5387,1, ,365717.7597,140309.1011, ,365714.3775,140303.4395, ,365716.9782,140307.793
TB1_00_4,365715.8527,140305.9089,1, ,365714.3965,140303.4713, ,365711.0143,140297.8098, ,365713.6151,140302.1632
TB1_00_5,365712.5044,140300.3041,1, ,365711.0482,140297.8664, ,365707.666,140292.2049, ,365710.2667,140296.5583
TB1_00_6,365709.1412,140294.6743,9, ,365707.685,140292.2366, ,365704.3029,140286.5751, ,365706.9036,140290.9285
TB1_00_7,365705.797,140289.0763,9, ,365704.3408,140286.6386, ,365700.9587,140280.9771, ,365703.5594,140285.3305
TB1_00_8,365702.4339,140283.4465,9, ,365700.9776,140281.0089, ,365697.5955,140275.3473, ,365700.1962,140279.7008
TB1_00_9,365699.0856,140277.8416,9, ,365697.6293,140275.404, ,365694.2472,140269.7425, ,365696.8479,140274.0959
TB1_00_10,365695.7224,140272.2119,9, ,365694.2661,140269.7742, ,365690.884,140264.1127, ,365693.4847,140268.4661
TB1_00_11,365692.3613,140266.5855,9, ,365690.905,140264.1479, ,365687.5229,140258.4864, ,365690.1236,140262.8398
TB1_00_12,365688.9981,140260.9558,9, ,365687.5418,140258.5181, ,365684.1597,140252.8566, ,365686.7604,140257.21
TB1_00_13,365685.6498,140255.3509,9, ,365684.1935,140252.9132, ,365680.8114,140247.2517, ,365683.4121,140251.6051
TB1_00_14,365682.2866,140249.7211,9, ,365680.8304,140247.2835, ,365677.4482,140241.6219, ,365680.0489,140245.9754
TB1_00_15,365678.9424,140244.1231,9, ,365677.4862,140241.6854, ,365674.104,140236.0239, ,365676.7047,140240.3774
TB1_00_16,365675.5792,140238.4933,9, ,365674.123,140236.0557, ,365670.7408,140230.3942, ,365673.3415,140234.7476
TB1_00_17,365672.2309,140232.8885,9, ,365670.7747,140230.4508, ,365667.3925,140224.7893, ,365669.9932,140229.1427
TB1_00_18,365668.8677,140227.2587,9, ,365667.4115,140224.821, ,365664.0294,140219.1595, ,365666.6301,140223.5129
TB1_00_19,365665.5056,140221.6306,9, ,365664.0493,140219.193, ,365660.6672,140213.5314, ,365663.2679,140217.8849
TB1_00_20,365662.1424,140216.0009,9, ,365660.6862,140213.5632, ,365657.304,140207.9017, ,365659.9047,140212.2551
TB1_00_21,365658.7941,140210.396,9, ,365657.3379,140207.9583, ,365653.9557,140202.2968, ,365656.5564,140206.6502
TB1_00_22,365655.4309,140204.7662,9, ,365653.9747,140202.3286, ,365650.5925,140196.667, ,365653.1932,140201.0205
TB1_00_23,365652.0867,140199.1682,9, ,365650.6305,140196.7305, ,365647.2483,140191.069, ,365649.849,140195.4225
TB1_00_24,365648.7235,140193.5384,9, ,365647.2673,140191.1008, ,365643.8852,140185.4392, ,365646.4859,140189.7927
TB1_00_25,365645.3752,140187.9335,9, ,365643.919,140185.4959, ,365640.5369,140179.8344, ,365643.1376,140184.1878
TB1_00_26,365642.0121,140182.3038,9, ,365640.5558,140179.8661, ,365637.1737,140174.2046, ,365639.7744,140178.558
TB1_00_27,365638.6509,140176.6774,9, ,365637.1947,140174.2398, ,365633.8126,140168.5783, ,365636.4133,140172.9317
TB1_00_28,365635.2878,140171.0477,9, ,365633.8315,140168.61, ,365630.4494,140162.9485, ,365633.0501,140167.3019
TB1_00_29,365631.9395,140165.4428,9, ,365630.4832,140163.0051, ,365627.1011,140157.3436, ,365629.7018,140161.697
TB1_00_30,365628.5763,140159.813,9, ,365627.1201,140157.3754, ,365623.7379,140151.7138, ,365626.3386,140156.0673
TB1_00_31,365625.2321,140154.215,9, ,365623.7758,140151.7773, ,365620.3937,140146.1158, ,365622.9944,140150.4693
TB1_00_32,365621.8689,140148.5852,9, ,365620.4127,140146.1476, ,365617.0305,140140.486, ,365619.6312,140144.8395
TB1_00_33,365618.5206,140142.9803,9, ,365617.0644,140140.5427, ,365613.6822,140134.8812, ,365616.2829,140139.2346
TB1_00_34,365615.1574,140137.3506,9, ,365613.7012,140134.9129, ,365610.319,140129.2514, ,365612.9198,140133.6048
TB1_00_35,365611.7948,140131.7217,9, ,365610.3385,140129.284, ,365606.9564,140123.6225, ,365609.5571,140127.9759
TB1_00_36,365608.4465,140126.1168,9, ,365606.9902,140123.6791, ,365603.6081,140118.0176, ,365606.2088,140122.371
TB1_00_37,365605.0833,140120.487,9, ,365603.6271,140118.0494, ,365600.2449,140112.3878, ,365602.8456,140116.7413
TB1_00_38,365601.5894,140114.6384,9, ,365600.1331,140112.2007, ,365596.751,140106.5392, ,365599.3517,140110.8926
TB1_00_39,365598.5897,140109.6171,9, ,365597.1335,140107.1795, ,365593.7513,140101.518, ,365596.3521,140105.8714
TB1_11_1,365691.3994,140343.2498,1, ,365689.9432,140340.8122, ,365686.561,140335.1507, ,365689.1617,140339.5041
TB1_11_2,365688.0655,140337.669,1, ,365686.6092,140335.2314, ,365683.2271,140329.5698, ,365685.8278,140333.9233
TB1_11_3,365684.7284,140332.083,1, ,365683.2722,140329.6454, ,365679.89,140323.9838, ,365682.4907,140328.3373
TB1_11_4,365681.3652,140326.4532,1, ,365679.909,140324.0156, ,365676.5269,140318.3541, ,365679.1276,140322.7075
TB1_11_5,365678.0169,140320.8484,1, ,365676.5607,140318.4107, ,365673.1786,140312.7492, ,365675.7793,140317.1026
TB1_11_6,365674.6538,140315.2186,9, ,365673.1975,140312.7809, ,365669.8154,140307.1194, ,365672.4161,140311.4729
TB1_11_7,365671.3096,140309.6206,9, ,365669.8533,140307.1829, ,365666.4712,140301.5214, ,365669.0719,140305.8748
TB1_11_8,365667.9464,140303.9908,9, ,365666.4901,140301.5532, ,365663.108,140295.8916, ,365665.7087,140300.2451
