junction_id,x,y,junction_box_corners,junction_box_type
TLJ-TAB-PPA8,365424.53,140536.49,"365412.70, 140534.24, 365420.91, 140547.97, 365436.36, 140538.74, 365428.15, 140525.01",3
TLJ-TAB-PPA8-3,365424.53,140536.49,"365428.73, 140543.52, 365436.47, 140538.89, 365428.17, 140524.99, 365420.42, 140529.62",3
TLJ-TAB-PPA8-4,365424.53,140536.49,"365416.96, 140541.48, 365432.48, 140532.21, 365428.17, 140524.99, 365412.65, 140534.26",3
TLJ-TBC-PPA8,365271.4,140280.16,"365267.75, 140291.57, 365283.29, 140282.29, 365275.13, 140268.63, 365259.59, 140277.91",3
TLJ-TBC-PPA8-2,365271.4,140280.16,"365267.80, 140291.64, 365283.33, 140282.35, 365279.20, 140275.44, 365263.67, 140284.72",3
TLJ-TBC-PPA8-3,365271.4,140280.16,"365275.51, 140287.03, 365283.33, 140282.35, 365275.13, 140268.61, 365267.30, 140273.29",3
TLJ-TCD-PPA8,365122.04,140030.45,"365134.01, 140032.49, 365125.98, 140019.06, 365110.25, 140028.45, 365118.27, 140041.89",3
URJ-RFS-MBA,365628.9344,140465.1075,"365637.2295, 140471.6238, 365630.7062, 140475.5208, 365620.6907, 140458.5605, 365627.2208, 140454.6748",1
URJ-TAB-MBA,365605.68,140428.27,"365584.34, 140431.70, 365592.54, 140445.44, 365627.01, 140424.84, 365618.81, 140411.11",2
URJ-TAB-PPD9,365749.8,140342.17,"365731.02, 140344.08, 365739.23, 140357.81, 365768.58, 140340.27, 365760.38, 140326.54",2
URJ-TBC-PPD9,365604,140081,"365606.30, 140099.91, 365620.02, 140091.72, 365602.33, 140062.11, 365588.61, 140070.30",2
URJ-TCD-PPD9,365455.22,139831.47,"365457.08, 139850.23, 365470.89, 139841.98, 365453.28, 139812.48, 365439.45, 139820.73",2
VJ-PB-MBA,365640.51,140484.33,"365643.72, 140482.39, 365637.41, 140486.16, 365663.35, 140530.40, 365669.92, 140526.47",1
VJ-TB1,365701.14,140371.24,"365682.88, 140372.84, 365691.08, 140386.57, 365719.41, 140369.65, 365711.20, 140355.92",1
VJ-TB2,365656.51,140397.91,"365638.24, 140399.50, 365646.45, 140413.23, 365674.77, 140396.31, 365666.57, 140382.58",1
VJ-TB4,365567.24,140451.23,"365548.98, 140452.83, 365557.18, 140466.56, 365585.51, 140449.64, 365577.30, 140435.91",1
VJ-TB5,365522.61,140477.9,"365504.35, 140479.49, 365512.55, 140493.22, 365540.87, 140476.30, 365532.67, 140462.57",1
VJ-TB6,365477.98,140504.56,"365459.71, 140506.15, 365467.92, 140519.89, 365496.24, 140502.97, 365488.04, 140489.23",1
VJ-TC0,365586.74,140092.52,"365594.94, 140106.69, 365606.30, 140099.91, 365588.61, 140070.30, 365577.26, 140077.09",1
VJ-TC0-PPD9,365598.66,140084.39,"365577.24, 140077.09, 365594.93, 140106.70, 365620.08, 140091.68, 365602.39, 140062.07",1
VJ-TC6,365325.89,140247.61,"365307.63, 140249.20, 365315.83, 140262.94, 365344.15, 140246.01, 365335.95, 140232.28",1
VJ-TC5,365369.44,140221.59,"365351.18, 140223.19, 365359.38, 140236.92, 365387.71, 140220.00, 365379.50, 140206.27",1
VJ-TC4,365414.11,140194.91,"365395.85, 140196.50, 365404.05, 140210.23, 365432.38, 140193.31, 365424.17, 140179.58",1
VJ-TC3,365458.75,140168.24,"365440.48, 140169.84, 365448.69, 140183.57, 365477.01, 140166.65, 365468.81, 140152.92",1
